email,name,name_norm,representative,director,primary_instrument,voice,guitar,bass,drums,keyboard,saturday_am,saturday_pm,saturday_1,saturday_2,saturday_3,saturday_4,last_saturday,frequency,suggestions
daniel.herrera@example.com,Daniel Herrera,daniel herrera,,1,guitar,1,1,1,0,0,1,1,1,1,1,1,1,2,
sophia.carter@example.com,Sophia Carter,sophia carter,,1,guitar,1,1,0,0,0,1,1,1,1,0,1,1,3,
matthew.turner@example.com,Matthew Turner,matthew turner,,0,voice,1,0,0,0,0,1,1,1,1,1,1,0,3,
valentina.fuentes@example.com,Valentina Fuentes,valentina fuentes,,1,voice,1,1,0,0,0,1,1,0,1,0,1,1,4,"Continue promoting within the church the importance of training, in order to facilitate the incorporation of other brothers and sisters into the praise team."
samuel.molina@example.com,Samuel Molina,samuel molina,,1,bass,1,1,1,0,0,0,1,1,1,1,1,1,2,All good—let's keep going!
camila.miranda@example.com,Camila Miranda,camila miranda,luke miranda,0,guitar,1,1,1,0,0,1,1,1,1,1,1,1,2,
isabella.palacios@example.com,Isabella Palacios,isabella palacios,,1,voice,1,0,0,0,0,1,0,1,1,1,0,1,2,Monthly Planning
gabriel.romero@example.com,Gabriel Romero,gabriel romero,lucy bennett,1,keyboard,1,0,0,0,1,0,1,1,1,1,1,1,4,
nicholas.reed@example.com,Nicholas Reed,nicholas reed,,1,voice,1,0,0,1,0,1,0,1,1,1,1,1,2,"Greater commitment and dedication, for this is worship to the Lord."
lucy.bennett@example.com,Lucy Bennett,lucy bennett,,1,voice,1,0,0,0,0,0,1,1,1,1,1,1,3,
mariana.campos@example.com,Mariana Campos,mariana campos,,0,drums,0,1,1,1,0,0,1,1,1,1,1,1,2,Keep it up!
thomas.walker@example.com,Thomas Walker,thomas walker,,1,drums,1,0,1,1,0,1,1,1,1,1,0,1,2,Commitment and Punctuality
matthew.brooks@example.com,Matthew Brooks,matthew brooks,,1,bass,1,1,1,0,0,1,1,1,1,1,1,0,2,
valentina.salazar@example.com,Valentina Salazar,valentina salazar,,1,keyboard,1,1,0,0,1,1,0,1,1,0,1,1,3,
samuel.ortega@example.com,Samuel Ortega,samuel ortega,thomas walker,1,keyboard,1,0,0,0,1,0,1,1,1,1,0,1,2,
lucia.mendoza@example.com,Lucia Mendoza,lucia mendoza,,0,bass,0,0,1,1,0,0,1,1,0,1,1,1,4,
bruno.vega@example.com,Bruno Vega,bruno vega,,1,drums,1,0,1,1,0,1,0,1,1,1,1,1,2,
